code	inn	target	inn_stem	resolved_by	support	confidence	n_abstracts	dois	ncts	spellings	target_how	target_votes	venues
AB122	zimberelimab	PD-1	relimab	inn(code)	ctgov+trial	high	1	10.1200/jco.2024.42.16_suppl.tps4195	NCT03628677;NCT03629756;NCT04087018;NCT04104672	AB122	anti-X	8/9	asco-2024
AB154	domvanalimab	PD-1	limab	inn(code)	ctgov+trial	high	1	10.1200/jco.2023.41.16_suppl.tps8609	NCT03628677;NCT04262856;NCT04656535;NCT04736173	AB154	X inhibitor	1/2	asco-2023
AB680	quemliclustat	CD73	stat	inn(code)	ctgov+repeat+trial	high	2	10.1158/1538-7445.am2024-lb131;10.1200/jco.2024.42.16_suppl.tps4195	NCT04381832;NCT06048133	AB680	X inhibitor+anti-X	5/6	aacr-2024|asco-2024
ABBV-151	livmoniplimab	GARP	limab	inn(code)	ctgov+repeat+trial	high	2	10.1200/jco.2024.42.16_suppl.tps4189;10.1200/jco.2024.42.16_suppl.tps4190	NCT03821935;NCT06632951	ABBV-151	targeting X	4/4	asco-2024
ABBV-155	mirzotamab clezutoclax		toclax	inn(code)	none	unsupported	1	10.1200/jco.2023.41.16_suppl.3027		ABBV-155		0/0	asco-2023
ABBV-181	budigalimab	PD-1	limab	inn(code)	ctgov+trial	high	1	10.1200/jco.2024.42.16_suppl.tps4190	NCT03000257;NCT03639194;NCT03821935;NCT03893955	ABBV-181	anti-X	1/1	asco-2024
ABL503	ragistomig	PD-L1	mig	inn(code)	none	unsupported	1	10.1200/jco.2024.42.16_suppl.2529		ABL503	targeting X	1/2	asco-2024
ABSK011	irpagratinib	FGFR4	tinib	inn(code)	ctgov+trial	high	1	10.1158/1538-7445.am2024-1228	NCT07010497	ABSK011	X inhibitor	4/4	aacr-2024
ABSK021	pimicotinib	CSF-1R	tinib	inn(code)	ctgov+repeat+trial	high	3	10.1158/1538-7445.am2024-lb077;10.1200/jco.2023.41.16_suppl.11559;10.1200/jco.2023.41.16_suppl.3100	NCT05804045;NCT06111274;NCT06186583	ABSK021	X inhibitor	7/12	aacr-2024|asco-2023
ABT-199	venetoclax	BCL-2	toclax	code(inn)+inn(code)	cooc+ctgov+repeat+trial	high	5	10.1158/1538-7445.am2023-3950;10.1158/1538-7445.am2023-4978;10.1158/1538-7445.am2023-5089;10.1158/1538-7445.am2023-5098	NCT01794520;NCT01889186;NCT01994837;NCT02141282	ABT-199	X inhibitor+targeting X	30/81	aacr-2023
ABT-263	navitoclax	BCL-2	toclax	code(inn)+inn(code)	cooc+ctgov+repeat+trial	high	4	10.1158/1538-7445.am2023-3950;10.1158/1538-7445.am2023-4792;10.1158/1538-7445.am2024-675;10.1200/jco.2024.42.3_suppl.507	NCT01828476;NCT02591095;NCT05864742	ABT-263|ABT263	X inhibitor+targeting X	4/10	aacr-2023|aacr-2024|asco-2024
ABT-700	telisotuzumab	MET	zumab	inn(code)	cooc+ctgov+repeat	high	3	10.1200/jco.2023.41.16_suppl.9032;10.1200/jco.2023.41.16_suppl.e21105;10.1200/jco.2023.41.16_suppl.tps9149	NCT07323641	ABT-700	X bispecific+X-directed	4/4	asco-2023
ACR-368	prexasertib	CHK1/2	sertib	code(inn)+inn(code)	ctgov+repeat+trial	high	2	10.1158/1538-7445.am2023-1562;10.1158/1538-7445.am2024-4749	NCT05548296;NCT06597565	ACR-368	X inhibitor	6/12	aacr-2023|aacr-2024
ACY-1215	ricolinostat		nostat	code(inn)	ctgov+trial	high	1	10.1158/1538-7445.am2023-6235	NCT01997840;NCT02189343;NCT02632071	ACY-1215		0/0	aacr-2023
AG-120	ivosidenib	IDH1	sidenib	inn(code)	ctgov+repeat+trial	high	3	10.1158/1538-7445.am2023-3701;10.1200/jco.2023.41.16_suppl.3152;10.1200/jco.2024.42.16_suppl.2040	NCT03173248;NCT03564821;NCT03839771;NCT04044209	AG-120	X inhibitor	10/22	aacr-2023|asco-2023|asco-2024
AK104	cadonilimab	PD-1	limab	inn(code)	cooc+ctgov+repeat+trial	high	2	10.1200/jco.2024.42.16_suppl.e17552;10.1200/jco.2024.42.16_suppl.e20518	NCT05063916;NCT05571644;NCT05578430;NCT05687851	AK104	X inhibitor+targeting X	9/20	asco-2024
AK112	ivonescimab	PD-1/VEGF	mab	inn(code)	ctgov+journal+repeat+trial	high	2	10.1200/jco.2023.41.16_suppl.9087;10.1200/jco.2024.42.16_suppl.8508	NCT05184712;NCT06196697;NCT06375486;NCT06402435	AK112	X bispecific+anti-X	2/3	asco-2023|asco-2024
ALX148	evorpacept	CD47	cept	inn(code)	ctgov+repeat+trial	high	3	10.1158/1538-7445.am2024-ct037;10.1200/jco.2023.41.4_suppl.tps257;10.1200/jco.2024.42.16_suppl.3530	NCT03013218;NCT04675294;NCT04675333;NCT04755244	ALX148	X inhibitor	5/6	aacr-2024|asco-2023|asco-2024
AMG-176	tapotoclax	CLK	toclax	inn(code)	none	unsupported	1	10.1200/jco.2024.42.16_suppl.6570		AMG-176	X inhibitor	1/4	asco-2024
AMG-509	xaluritamig	STEAP2	mig	inn(code)	ctgov	medium	1	10.1158/1538-7445.am2024-6348	NCT07493512	AMG-509	anti-X	1/1	aacr-2024
AMG510	sotorasib	G12C	rasib	code(inn)+inn(code)	cooc+ctgov+repeat+trial	high	15	10.1158/1538-7445.am2023-1079;10.1158/1538-7445.am2023-257;10.1158/1538-7445.am2023-26;10.1158/1538-7445.am2023-2692	NCT05398094;NCT06068153	AMG-510|AMG510	X inhibitor+X-directed	40/114	aacr-2023|aacr-2024|asco-2023|asco-2024
ANZUP-1603	docetaxel	PD-1	taxel	inn(code)	none	unsupported	1	10.1200/jco.2024.42.16_suppl.5055		ANZUP-1603	X inhibitor+anti-X	2/7	asco-2024
APG-2575	lisaftoclax	BCL-2	toclax	inn(code)	ctgov+repeat+trial	high	3	10.1158/1538-7445.am2023-1631;10.1200/jco.2023.41.16_suppl.7569;10.1200/jco.2024.42.16_suppl.7078	NCT04215809;NCT04501120;NCT06104566;NCT06319456	APG-2575	X inhibitor	14/14	aacr-2023|asco-2023|asco-2024
APL-101	vebreltinib	MET	tinib	inn(code)	cooc+ctgov	high	1	10.1158/1538-7445.am2024-6500	NCT03655613	APL-101	X inhibitor	1/1	aacr-2024
ARI0002H	cesnicabtagene autoleucel		leucel	code(inn)	trial	medium	1	10.1200/jco.2024.42.16_suppl.7544	NCT06830733	ARI0002H		0/0	asco-2024
ARQ-531	nemtabrutinib	BTK	tinib	inn(code)	ctgov	medium	1	10.1200/jco.2023.41.16_suppl.tps7593	NCT06688045	ARQ-531	X inhibitor	2/2	asco-2023
ARV-471	vepdegestrant	ER	estrant	code(inn)+inn(code)	ctgov+repeat+trial	high	2	10.1158/1538-7445.am2024-595;10.1200/jco.2024.42.16_suppl.tps1131	NCT04606446;NCT05463952;NCT05548127;NCT05573555	ARV-471	X inhibitor+X-directed	9/11	aacr-2024|asco-2024
ASTX727	decitabine cedazuridine	DNA	uridine	code(inn)	cooc+ctgov+repeat+trial	high	2	10.1200/jco.2023.41.16_suppl.11531;10.1200/jco.2024.42.16_suppl.11526	NCT03306264;NCT03813186;NCT03922555;NCT04093570	ASTX727	targeting X	1/3	asco-2023|asco-2024
