primary	aliases	query_terms	n_approvals	first_approval	last_approval	codes	code_sources	codes_validated	n_studies	fih_date	fih_nct	fih_phase	fih_in_title	fih_via	fih_sponsor	inn_only_fih_date	inn_only_nct	months_gained_by_code	fih_title_only_date	fih_no_platform_filter_date	fih_corpus_internal_date	confidence	external_only_codes
zanubrutinib	brukinsa|zanubrutinib	brukinsa|zanubrutinib	2	2023-01-19	2024-03-07	BDB-3111|BGB-3111|BGB3111	BDB-3111:ctgov:strong|BGB-3111:ctgov+ctloc:strong|BGB3111:ctgov:strong	BDB-3111|BGB-3111|BGB3111	196	2014-09-04	NCT02343120	PHASE1;PHASE2	1	inn	BeiGene	2014-09-04	NCT02343120	0	2014-09-04	2014-09-04	2014-09-04	high	BDB-3111|BGB3111
tucatinib	tucatinib|tukysa	tucatinib|tukysa	1	2023-01-19	2023-01-19	ARRY-380|MK-7119|ONT-380	ARRY-380:ctgov:strong|MK-7119:ctgov:strong|ONT-380:ctgov+ctloc:strong	ARRY-380|MK-7119|ONT-380	66	2008-05	NCT00650572	PHASE1	1	code	Seagen Inc.	2013-12-31	NCT02025192	67	2008-05	2008-05	2013-12-31	high	ARRY-380|MK-7119
pembrolizumab	keytruda|pembrolizumab	keytruda|pembrolizumab	14	2023-01-26	2026-07-10	BCD-201|BYL-719|GME-751|GME751|HLX17|MK-1308A|MK-3475|MK-3475A|MK-4280A|MK-7684A|MK3475|MK4280A|QL2107|RPH-075|RPH075|SB-27|SB27|SCH-9000475|SCH-900475|SCH900475|SGN-35	BCD-201:ctgov:strong|BYL-719:ctgov:strong|GME-751:ctgov:strong|GME751:ctgov:strong|HLX17:ctgov:strong|MK-1308A:ctgov:strong|MK-3475:conf+ctgov+ctloc:strong|MK-3475A:ctgov:strong|MK-4280A:ctgov+ctloc:strong|MK-7684A:conf+ctgov:strong|MK3475:ctgov:strong|MK4280A:conf:strong|QL2107:ctgov:strong|RPH-075:ctgov:strong|RPH075:ctgov:strong|SB-27:ctgov:strong|SB27:ctgov:strong|SCH-9000475:ctgov:strong|SCH-900475:ctgov:strong|SCH900475:ctgov:strong|SGN-35:ctgov:conflict	BCD-201|BYL-719|GME-751|GME751|HLX17|MK-1308A|MK-3475|MK-3475A|MK-4280A|MK-7684A|MK3475|MK4280A|QL2107|RPH-075|RPH075|SB-27|SB27|SCH-9000475|SCH-900475|SCH900475	680	2010-08-26	NCT01174121	PHASE2	1	inn	National Cancer Institute (NCI)	2010-08-26	NCT01174121	0	2010-08-26	2010-03-01	2010-08-26	low	BCD-201|BYL-719|GME-751|GME751|HLX17|MK-1308A|MK-3475A|MK3475|QL2107|RPH-075|RPH075|SB-27|SB27|SCH-9000475|SCH-900475|SCH900475
elacestrant	elacestrant|orserdu	elacestrant|orserdu	1	2023-01-27	2023-01-27	ASYM-122762|ER-306323	ASYM-122762:ctgov:strong|ER-306323:ctgov:strong	ASYM-122762|ER-306323	38	2015-01	NCT02338349	PHASE1	0	inn	Stemline Therapeutics, Inc.	2015-01	NCT02338349	0	2019-05-10	2015-01	2015-01	medium	ASYM-122762|ER-306323
pirtobrutinib	jaypirca|pirtobrutinib	jaypirca|pirtobrutinib	3	2023-01-27	2025-12-03	LOXO-305|LOXO305|LY3527727	LOXO-305:conf+ctgov+ctloc:strong|LOXO305:ctgov:strong|LY3527727:ctgov+ctloc:strong	LOXO-305|LOXO305|LY3527727	72	2019-03-15	NCT03740529	PHASE1;PHASE2	1	inn	Loxo Oncology, Inc.	2019-03-15	NCT03740529	0	2019-03-15	2019-03-15	2019-03-15	high	LOXO305
sacituzumab govitecan-hziy	sacituzumab govitecan|trodelvy	sacituzumab govitecan|trodelvy	2	2023-02-03	2026-06-24	AB122|GS-0132|IMMU-132|IMMU132|RO7445735|RS7SN38	AB122:ctgov:strong|GS-0132:ctgov:strong|IMMU-132:conf+ctgov+ctloc:strong|IMMU132:ctgov:strong|RO7445735:ctgov:strong|RS7SN38:ctgov:strong	AB122|GS-0132|IMMU-132|IMMU132|RO7445735|RS7SN38	164	2012-12-17	NCT01631552	PHASE1;PHASE2	1	inn	Gilead Sciences	2012-12-17	NCT01631552	0	2012-12-17	2012-12-17	2012-12-17	high	AB122|GS-0132|IMMU132|RO7445735|RS7SN38
dostarlimab-gxly	dostarlimab|jemperli	dostarlimab|jemperli	3	2023-02-09	2024-08-01	ANB011|GSK4057190|GSK4057190A|TSR-042|TSR042|WBP-285	ANB011:ctgov:strong|GSK4057190:ctgov+ctloc:strong|GSK4057190A:ctgov:strong|TSR-042:conf+ctgov:strong|TSR042:ctgov:strong|WBP-285:ctgov:strong	ANB011|GSK4057190|GSK4057190A|TSR-042|TSR042|WBP-285	99	2016-03-07	NCT02715284	PHASE1	1	inn	Tesaro, Inc.	2016-03-07	NCT02715284	0	2016-03-07	2010-03-01	2016-03-07	high	ANB011|GSK4057190A|TSR042|WBP-285
abemaciclib	abemaciclib|verzenio	abemaciclib|verzenio	1	2023-03-03	2023-03-03	LY-2835219|LY2835219|RO7071651|VERU-024	LY-2835219:ctgov:strong|LY2835219:ctgov:strong|RO7071651:ctgov:strong|VERU-024:ctgov:strong	LY-2835219|LY2835219|RO7071651|VERU-024	228	2009-12-07	NCT01394016	PHASE1	1	inn	Eli Lilly and Company	2009-12-07	NCT01394016	0	2009-12-07	2009-12-07	2009-12-07	high	LY-2835219|LY2835219|RO7071651|VERU-024
dabrafenib	dabrafenib|tafinlar	dabrafenib|tafinlar	1	2023-03-16	2023-03-16	DRB436|GSK-2118436|GSK-2118436A|GSK2118436|GSK2118436A|GSK2118436B|NSC-763760	DRB436:ctgov:strong|GSK-2118436:ctgov:strong|GSK-2118436A:ctgov:strong|GSK2118436:ctgov:strong|GSK2118436A:ctgov:strong|GSK2118436B:ctgov:strong|NSC-763760:ctgov:strong	DRB436|GSK-2118436|GSK-2118436A|GSK2118436|GSK2118436A|GSK2118436B|NSC-763760	146	2009-06-04	NCT00880321	PHASE1	1	code	GlaxoSmithKline	2011-02	NCT01266967	20	2009-06-04	2009-06-04	2011-02	high	DRB436|GSK-2118436|GSK-2118436A|GSK2118436|GSK2118436A|GSK2118436B|NSC-763760
retifanlimab-dlwr	retifanlimab	retifanlimab	2	2023-03-22	2025-05-15	INCMGA-00012|INCMGA-0012|INCMGA00012|INCMGA0012|MGA-012|MGA012	INCMGA-00012:ctgov:strong|INCMGA-0012:ctgov:strong|INCMGA00012:conf+ctgov:strong|INCMGA0012:ctgov:strong|MGA-012:ctgov:strong|MGA012:ctgov:strong	INCMGA-00012|INCMGA-0012|INCMGA00012|INCMGA0012|MGA-012|MGA012	69	2015-02-27	NCT02393248	PHASE1;PHASE2	0	inn	Incyte Corporation	2015-02-27	NCT02393248	0	2015-07	2015-02-27	2015-02-27	medium	INCMGA-00012|INCMGA-0012|INCMGA0012|MGA-012|MGA012
enfortumab vedotin-ejfv	enfortumab|enfortumab vedotin|padcev	enfortumab|padcev	2	2023-04-03	2023-12-15	AGS-22ME|ASG-22CE|ASG-22ME|ASG22CE|ASP7465	AGS-22ME:ctgov:strong|ASG-22CE:ctgov:strong|ASG-22ME:ctgov:strong|ASG22CE:ctgov:strong|ASP7465:ctgov:strong	AGS-22ME|ASG-22CE|ASG-22ME|ASG22CE|ASP7465	74	2011-07-11	NCT01409135	PHASE1	1	code	Astellas Pharma Inc	2014-05-14	NCT02091999	34	2011-07-11	2011-07-11	2014-05-14	high	AGS-22ME|ASG-22CE|ASG-22ME|ASG22CE|ASP7465
omidubicel-onlv	omidubicel|omisirge	omidubicel|omisirge	1	2023-04-17	2023-04-17				3	2016-12-16	NCT02730299	PHASE3	1	inn	Gamida Cell ltd	2016-12-16	NCT02730299	0	2016-12-16	2016-12-16	2016-12-16	low	
